Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,combined_text
Natural Glute Ham Raise - Gethin Variation,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,Strength,Glutes,Body Only,Intermediate,,,natural glute ham raise - gethin variation the glute ham raise is an exercise targeting the glutes and hamstrings on a ghd.
Groiner,"The groiner is an explosive bodyweight exercise targeting the legs, shoulders, and core. It also includes a dynamic stretch of the hips. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",Strength,Glutes,Body Only,Intermediate,,,"groiner the groiner is an explosive bodyweight exercise targeting the legs, shoulders, and core. it also includes a dynamic stretch of the hips. it can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout."
HM Alternating Donkey Kick,,Strength,Glutes,Body Only,Intermediate,,,hm alternating donkey kick 
HM Alternating Slow Step-Down With Chair,,Strength,Glutes,Body Only,Intermediate,,,hm alternating slow step-down with chair 
HM Right Side Iron Cross,,Strength,Glutes,Body Only,Intermediate,,,hm right side iron cross 
HM Single-Leg Bridge,,Strength,Glutes,Body Only,Intermediate,,,hm single-leg bridge 
HM Hi-Low,,Strength,Glutes,Body Only,Intermediate,,,hm hi-low 
HM Kick-Back,,Strength,Glutes,Body Only,Intermediate,,,hm kick-back 
HM Left Side Iron Cross,,Strength,Glutes,Body Only,Intermediate,,,hm left side iron cross 
HM Left Side-Kick,,Strength,Glutes,Body Only,Intermediate,,,hm left side-kick 
HM Leg Lifts,,Strength,Glutes,Body Only,Intermediate,,,hm leg lifts 
Walking lunge,"The walking lunge is a lower-body exercise that targets the glutes, quads, and hamstrings while challenging stability and balance. It can be performed for reps, time, or distance in the lower-body portion of any workout.",Strength,Glutes,Body Only,Intermediate,,,"walking lunge the walking lunge is a lower-body exercise that targets the glutes, quads, and hamstrings while challenging stability and balance. it can be performed for reps, time, or distance in the lower-body portion of any workout."
High Plyometric Box Jump,,Strength,Glutes,Body Only,Intermediate,,,high plyometric box jump 
Barbell hip thrust-,"The barbell hip thrust is a popular exercise that targets the posterior chain, particularly the glutes and hamstrings. It involves fully extending your hips while holding a weighted barbell across the front of the hips. It is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout.",Strength,Glutes,Body Only,Intermediate,,,"barbell hip thrust- the barbell hip thrust is a popular exercise that targets the posterior chain, particularly the glutes and hamstrings. it involves fully extending your hips while holding a weighted barbell across the front of the hips. it is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout."
UN Glute Bridge,,Strength,Glutes,Body Only,Intermediate,,,un glute bridge 
Holman Donkey Kick,,Strength,Glutes,Body Only,Intermediate,,,holman donkey kick 
Holman Hip Raise with Alternating Kick,,Strength,Glutes,Body Only,Intermediate,,,holman hip raise with alternating kick 
Holman Left Leg Donkey Kick,,Strength,Glutes,Body Only,Intermediate,,,holman left leg donkey kick 
Holman Diagonal Right Leg Step-Out to Right Knee-Up,,Strength,Glutes,Body Only,Intermediate,,,holman diagonal right leg step-out to right knee-up 
Holman Right Leg Donkey Kick,,Strength,Glutes,Body Only,Intermediate,,,holman right leg donkey kick 
Holman Butt Tap to Jump,,Strength,Glutes,Body Only,Intermediate,,,holman butt tap to jump 
Holman Butt Tap to Jump-Forward-Jump-Back,,Strength,Glutes,Body Only,Intermediate,,,holman butt tap to jump-forward-jump-back 
Holman Traveling High Knees to Squat Thrust,,Strength,Glutes,Body Only,Intermediate,,,holman traveling high knees to squat thrust 
Holman Butt Kicker to High Knees,,Strength,Glutes,Body Only,Intermediate,,,holman butt kicker to high knees 
Holman Daisy Cutter,,Strength,Glutes,Body Only,Intermediate,,,holman daisy cutter 
Holman Frogger,,Strength,Glutes,Body Only,Intermediate,,,holman frogger 
Holman Hip Raise with Chest Press,,Strength,Glutes,Body Only,Intermediate,,,holman hip raise with chest press 
Total Fitness Bear Crawl,"The bear crawl is a popular bodyweight crawling exercise. While it looks simple, the bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strength,Glutes,Body Only,Intermediate,,,"total fitness bear crawl the bear crawl is a popular bodyweight crawling exercise. while it looks simple, the bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. it can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning."
Pigeon stretch,"The pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is similar to the pigeon pose from yoga, but is also popular as part of dynamic warm-ups or cool-downs in strength training. It can also be performed anytime to help combat training-related soreness.",Strength,Glutes,Body Only,Intermediate,,,"pigeon stretch the pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. it is similar to the pigeon pose from yoga, but is also popular as part of dynamic warm-ups or cool-downs in strength training. it can also be performed anytime to help combat training-related soreness."
Levitating side kick-through,"The levitating side kick-through is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you kick into the air in a partial handstand. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",Strength,Glutes,Body Only,Intermediate,,,"levitating side kick-through the levitating side kick-through is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. in between reps, you kick into the air in a partial handstand. it is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence."
30 Legs Hip Thrust,,Strength,Glutes,Body Only,Intermediate,,,30 legs hip thrust 
Dumbbell single-leg hip thrust,"The dumbbell single-leg hip thrust is a single-sided exercise that targets the posterior chain, particularly the glutes and hamstrings. It involves balancing on one foot and fully extending your hips while holding a dumbbell across the front of your hip. It is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout.",Strength,Glutes,Body Only,Intermediate,,,"dumbbell single-leg hip thrust the dumbbell single-leg hip thrust is a single-sided exercise that targets the posterior chain, particularly the glutes and hamstrings. it involves balancing on one foot and fully extending your hips while holding a dumbbell across the front of your hip. it is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout."
Medicine ball duck walk,"The medicine ball duck walk is a dynamic medicine ball movement that challenges both the upper and lower body, while also elevating the heart rate. It's a great movement to include in medicine ball or bodyweight circuit training to increase fatigue and burn serious calories while hammering the muscles of the legs.",Strength,Glutes,Medicine Ball,Intermediate,,,"medicine ball duck walk the medicine ball duck walk is a dynamic medicine ball movement that challenges both the upper and lower body, while also elevating the heart rate. it's a great movement to include in medicine ball or bodyweight circuit training to increase fatigue and burn serious calories while hammering the muscles of the legs."
Exercise ball hip thrust,"The exercise ball hip thrust is a simple yet effective way to work the glutes and hamstrings. Proper form is essential to really feel the burn in the glutes, and the ball can help guide you into the right form better than a bench, which is the usual support for hip thrusts. Unlike the bench version, the ball hip thrust is best performed with body weight or bands as resistance for safety reasons. It can be an excellent component of a warm-up for lower-body training, or a glute activation drill performed anytime.",Strength,Glutes,Exercise Ball,Intermediate,7.8,Average,"exercise ball hip thrust the exercise ball hip thrust is a simple yet effective way to work the glutes and hamstrings. proper form is essential to really feel the burn in the glutes, and the ball can help guide you into the right form better than a bench, which is the usual support for hip thrusts. unlike the bench version, the ball hip thrust is best performed with body weight or bands as resistance for safety reasons. it can be an excellent component of a warm-up for lower-body training, or a glute activation drill performed anytime."
Downward Facing Balance,,Strength,Glutes,Exercise Ball,Beginner,4.0,Average,downward facing balance 
Band Good Morning (Pull Through),,Powerlifting,Hamstrings,Bands,Beginner,8.3,Average,band good morning (pull through) 
Standing Hamstring and Calf Stretch,,Stretching,Hamstrings,Bands,Intermediate,6.7,Average,standing hamstring and calf stretch 
Hamstring-SMR,,Stretching,Hamstrings,Foam Roll,Beginner,5.5,Average,hamstring-smr 
Barbell Deadlift,"The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.",Strength,Hamstrings,Barbell,Intermediate,9.4,Average,"barbell deadlift the barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. it is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. when performed with the hands outside the knees, it is often called a ""conventional"" deadlift. when the feet are wide and the hands are inside the knees, it is a sumo deadlift."
Clean Deadlift,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,9.4,Average,clean deadlift 
Sumo deadlift,"The sumo deadlift is a compound movement in which the feet are set in a wide stance with toes pointed out and grip is placed inside of the legs. It is allowed to be performed instead of conventional deadlifts in most powerlifting competitions. The sumo deadlift targets the hamstrings, glutes, and upper back/traps, but also has a greater emphasis on stretching and strengthening the adductor and hip muscles due to the wide stance.",Powerlifting,Hamstrings,Barbell,Beginner,9.3,Average,"sumo deadlift the sumo deadlift is a compound movement in which the feet are set in a wide stance with toes pointed out and grip is placed inside of the legs. it is allowed to be performed instead of conventional deadlifts in most powerlifting competitions. the sumo deadlift targets the hamstrings, glutes, and upper back/traps, but also has a greater emphasis on stretching and strengthening the adductor and hip muscles due to the wide stance."
Romanian Deadlift from Deficit,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,9.2,Average,romanian deadlift from deficit 
Power Snatch,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,9.2,Average,power snatch 
Power Clean from Blocks,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,9.2,Average,power clean from blocks 
Snatch Deadlift,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,8.9,Average,snatch deadlift 
Power clean,"The power clean is a full-body movement in which the bar is pulled from the floor and caught in the front rack position in three pulls or phases. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power clean can be used as a component of the clean and press or clean and jerk, but is also a valuable lift to build explosive power and strength.",Strength,Hamstrings,Barbell,Intermediate,8.7,Average,"power clean the power clean is a full-body movement in which the bar is pulled from the floor and caught in the front rack position in three pulls or phases. the bar is received in the ""power"" position, with the hips higher than a full-depth squat position. the power clean can be used as a component of the clean and press or clean and jerk, but is also a valuable lift to build explosive power and strength."
Hang Snatch,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,8.7,Average,hang snatch 
Wide Stance Stiff Legs,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,8.5,Average,wide stance stiff legs 
Clean,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,8.5,Average,clean 
Good Morning,"The barbell good morning is an exercise that targets glute, hamstring, and lower back development. It is often trained as an accessory movement to the deadlift, but also has value on its own. It is sometimes performed for reps in traditional strength-focused rep ranges such as 5-8 reps per set, but due to the risk posed to the lower back, is rarely treated as a max-effort single-rep lift.",Powerlifting,Hamstrings,Barbell,Intermediate,8.5,Average,"good morning the barbell good morning is an exercise that targets glute, hamstring, and lower back development. it is often trained as an accessory movement to the deadlift, but also has value on its own. it is sometimes performed for reps in traditional strength-focused rep ranges such as 5-8 reps per set, but due to the risk posed to the lower back, is rarely treated as a max-effort single-rep lift."
Barbell stiff-legged deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.",Strength,Hamstrings,Barbell,Intermediate,8.3,Average,"barbell stiff-legged deadlift the barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. it is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Romanian Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.",Strength,Hamstrings,Barbell,Intermediate,8.1,Average,"romanian deadlift the barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. it is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Sumo Deadlift with Chains,,Powerlifting,Hamstrings,Barbell,Beginner,7.8,Average,sumo deadlift with chains 
Sumo Deadlift with Bands,,Powerlifting,Hamstrings,Barbell,Beginner,0.0,Average,sumo deadlift with bands 
Good Morning off Pins,,Powerlifting,Hamstrings,Barbell,Beginner,0.0,Average,good morning off pins 
Stiff-Legged Deadlift,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.",Strength,Hamstrings,Barbell,Beginner,0.0,Average,"stiff-legged deadlift the barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. it is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement."
Snatch Pull,,Strength,Hamstrings,Barbell,Beginner,0.0,Average,snatch pull 
Hanging Bar Good Morning,,Powerlifting,Hamstrings,Barbell,Beginner,0.0,Average,hanging bar good morning 
Reverse Band Sumo Deadlift,,Powerlifting,Hamstrings,Barbell,Beginner,0.0,Average,reverse band sumo deadlift 
Muscle Snatch,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.0,Average,muscle snatch 
Split Snatch,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.0,Average,split snatch 
Hang Snatch - Below Knees,,Olympic Weightlifting,Hamstrings,Barbell,Beginner,0.0,Average,hang snatch - below knees 
30 Legs Sumo Deadlift,,Strength,Hamstrings,Barbell,Intermediate,,,30 legs sumo deadlift 
Kettlebell pass-through lunge,"The kettlebell pass-through lunge is a dynamic leg and core exercise in which a lifter passes a weight under their front leg during lunges. It is a unique coordination challenge, but also challenging to the musculature of the abdomen, lower body, shoulders, and upper back. It is most commonly performed for higher reps, such as 10-15 reps per side, or for time. It can work in circuit-style workouts, or in lower-body or full-body time-efficient training.",Strength,Hamstrings,Kettlebells,Intermediate,8.7,Average,"kettlebell pass-through lunge the kettlebell pass-through lunge is a dynamic leg and core exercise in which a lifter passes a weight under their front leg during lunges. it is a unique coordination challenge, but also challenging to the musculature of the abdomen, lower body, shoulders, and upper back. it is most commonly performed for higher reps, such as 10-15 reps per side, or for time. it can work in circuit-style workouts, or in lower-body or full-body time-efficient training."
Kettlebell One-Legged Deadlift,"The kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. It's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles.",Strength,Hamstrings,Kettlebells,Intermediate,8.6,Average,"kettlebell one-legged deadlift the kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. it's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles."
Single-arm kettlebell clean,"The single-arm kettlebell clean is an explosive kettlebell exercise where the lifter pulls the weight to shoulder level in a single movement. While the kettlebell clean is often used as a transitional movement into the press or front squat, it is also a valuable strength and power exercise in its own right. It can be performed in low rep ranges for strength or higher rep ranges for technique practice or muscle growth.",Strength,Hamstrings,Kettlebells,Beginner,8.6,Average,"single-arm kettlebell clean the single-arm kettlebell clean is an explosive kettlebell exercise where the lifter pulls the weight to shoulder level in a single movement. while the kettlebell clean is often used as a transitional movement into the press or front squat, it is also a valuable strength and power exercise in its own right. it can be performed in low rep ranges for strength or higher rep ranges for technique practice or muscle growth."
Single-leg kettlebell deadlift,"The kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. It's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles.",Strength,Hamstrings,Kettlebells,Intermediate,8.2,Average,"single-leg kettlebell deadlift the kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. it's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles."
Romanian Deadlift with Kettlebell,,Strength,Hamstrings,Kettlebells,Beginner,8.0,Average,romanian deadlift with kettlebell 
Single-arm kettlebell swing,"The single-arm kettlebell swing is a popular exercise emphasizing the muscles of the hamstrings, glutes, and back. Because you are only swinging with one arm at a time, it is also uniquely challenging to the grip and core muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, or in circuit training.",Strength,Hamstrings,Kettlebells,Intermediate,7.4,Average,"single-arm kettlebell swing the single-arm kettlebell swing is a popular exercise emphasizing the muscles of the hamstrings, glutes, and back. because you are only swinging with one arm at a time, it is also uniquely challenging to the grip and core muscles. it is often used to train explosive power, for aerobic or cardiovascular conditioning, or in circuit training."
Kettlebell Dead Clean,,Strength,Hamstrings,Kettlebells,Beginner,5.3,Average,kettlebell dead clean 
Alternating Hang Clean,,Strength,Hamstrings,Kettlebells,Beginner,4.9,Average,alternating hang clean 
One-Arm Open Palm Kettlebell Clean,,Strength,Hamstrings,Kettlebells,Beginner,0.0,,one-arm open palm kettlebell clean 
Open Palm Kettlebell Clean,,Strength,Hamstrings,Kettlebells,Beginner,0.0,,open palm kettlebell clean 
Kettlebell Hang Clean,,Strength,Hamstrings,Kettlebells,Beginner,0.0,,kettlebell hang clean 
Double Kettlebell Alternating Hang Clean,,Strength,Hamstrings,Kettlebells,Beginner,0.0,,double kettlebell alternating hang clean 
Romanian Deadlift With Dumbbells,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.",Strength,Hamstrings,Dumbbell,Beginner,9.4,Average,"romanian deadlift with dumbbells the dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. the purpose of the stiff-legged, as opposed to romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree."
Stiff-Legged Dumbbell Deadlift,"The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.",Strength,Hamstrings,Dumbbell,Intermediate,8.8,Average,"stiff-legged dumbbell deadlift the dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. the purpose of the stiff-legged, as opposed to romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree."
Vertical Swing,,Plyometrics,Hamstrings,Dumbbell,Beginner,7.5,Average,vertical swing 
Dumbbell Fix Dumbbell Swing,,Strength,Hamstrings,Dumbbell,Intermediate,,,dumbbell fix dumbbell swing 
Dumbbell Lying Hamstring Curl,,Strength,Hamstrings,Dumbbell,Intermediate,,,dumbbell lying hamstring curl 
30 Legs Dumbbell Stiff-Legged Deadlift,,Strength,Hamstrings,Dumbbell,Intermediate,,,30 legs dumbbell stiff-legged deadlift 
Box jump,"The box jump is an explosive exercise that strengthens the muscles of the lower body, including the quads, glutes, calves, and hamstrings. They also develop power in the lower body while revving the heart rate. Box jumps can be performed for low reps to focus on strength and power, or for higher reps for metabolic conditioning. Most coaches recommend stepping down rather than jumping down between reps.",Plyometrics,Hamstrings,Other,Beginner,8.6,Average,"box jump the box jump is an explosive exercise that strengthens the muscles of the lower body, including the quads, glutes, calves, and hamstrings. they also develop power in the lower body while revving the heart rate. box jumps can be performed for low reps to focus on strength and power, or for higher reps for metabolic conditioning. most coaches recommend stepping down rather than jumping down between reps."
Box Jump (Multiple Response),"The box jump is a plyometric exercise that strengthens the muscles of the lower body, including the quads, glutes, calves and hamstrings. They also develop power in the lower-body while revving the heart rate.",Plyometrics,Hamstrings,Other,Intermediate,8.1,Average,"box jump (multiple response) the box jump is a plyometric exercise that strengthens the muscles of the lower body, including the quads, glutes, calves and hamstrings. they also develop power in the lower-body while revving the heart rate."
Sled push-,"The sled push is a conditioning exercise that targets the cardiovascular system and the muscles of the lower body. It involves pushing a sled along turf or another flat surface either for time or distance. Depending on your type of equipment, you may be pushing handles or straps in front of the sled. It can be used as part of a dynamic warm-up or for power training, as a finisher, or as part of a conditioning workout or circuit.",Cardio,Hamstrings,Other,Beginner,7.4,Average,"sled push- the sled push is a conditioning exercise that targets the cardiovascular system and the muscles of the lower body. it involves pushing a sled along turf or another flat surface either for time or distance. depending on your type of equipment, you may be pushing handles or straps in front of the sled. it can be used as part of a dynamic warm-up or for power training, as a finisher, or as part of a conditioning workout or circuit."
Lying Hamstring,,Stretching,Hamstrings,Other,Beginner,6.3,Average,lying hamstring 
Chair Leg Extended Stretch,,Stretching,Hamstrings,Other,Beginner,2.4,Average,chair leg extended stretch 
Suspended Leg Curl,,Strength,Hamstrings,Other,Beginner,0.0,Average,suspended leg curl 
Box Skip,,Plyometrics,Hamstrings,Other,Beginner,0.0,Average,box skip 
Power Stairs,,Strongman,Hamstrings,Other,Beginner,0.0,Average,power stairs 
Seated Hamstring and Calf Stretch,,Stretching,Hamstrings,Other,Beginner,0.0,,seated hamstring and calf stretch 
Hamstring slide,"The hamstring slide is a bodyweight exercise targeting the hamstrings. Lying supine on a smooth surface, bend your knees to pull both heels toward you. The sliding action requires a pad, cloth, or furniture sliders under the heels. These are considered more difficult than exercise ball hamstring curls and are a great primer movement before heavy squats or deadlifts, or as an accessory movement later in a lower-body workout.",Strength,Hamstrings,Other,Beginner,0.0,,"hamstring slide the hamstring slide is a bodyweight exercise targeting the hamstrings. lying supine on a smooth surface, bend your knees to pull both heels toward you. the sliding action requires a pad, cloth, or furniture sliders under the heels. these are considered more difficult than exercise ball hamstring curls and are a great primer movement before heavy squats or deadlifts, or as an accessory movement later in a lower-body workout."
Seated Band Hamstring Curl,,Strength,Hamstrings,Other,Intermediate,0.0,,seated band hamstring curl 
Lying cable leg curl,"The lying cable leg curl is a classic machine exercise for building greater muscle size and strength in the hamstrings. It's easy to learn, easy to master, and poses little in the way of injury risk. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training.",Strength,Hamstrings,Cable,Intermediate,,,"lying cable leg curl the lying cable leg curl is a classic machine exercise for building greater muscle size and strength in the hamstrings. it's easy to learn, easy to master, and poses little in the way of injury risk. it is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training."
Standing cable leg curl,"The standing cable leg curl is an isolation exercise for the hamstrings. It is often used as a variation of leg curl machines and for working each side independently. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training.",Strength,Hamstrings,Cable,Intermediate,,,"standing cable leg curl the standing cable leg curl is an isolation exercise for the hamstrings. it is often used as a variation of leg curl machines and for working each side independently. it is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training."
Lying Leg Curls,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Hamstrings,Machine,Beginner,8.9,Average,"lying leg curls the lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. it is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Glute Ham Raise,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,Powerlifting,Hamstrings,Machine,Intermediate,8.4,Average,glute ham raise the glute ham raise is an exercise targeting the glutes and hamstrings on a ghd.
Reverse Hyperextension,,Strength,Hamstrings,Machine,Beginner,8.0,Average,reverse hyperextension 
Seated Leg Curl,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Hamstrings,Machine,Intermediate,7.9,Average,"seated leg curl the leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. it comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Standing Leg Curl,,Strength,Hamstrings,Machine,Beginner,7.4,Average,standing leg curl 
Smith machine stiff-legged deadlift,"The Smith machine stiff-legged deadlift is a machine-based exercise targeting the muscles of the hamstrings, glutes, and upper back. The Smith machine mimics a barbell but provides more stability. This movement can be programmed like a traditional stiff-legged or Romanian deadlift, in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Hamstrings,Machine,Beginner,7.0,Average,"smith machine stiff-legged deadlift the smith machine stiff-legged deadlift is a machine-based exercise targeting the muscles of the hamstrings, glutes, and upper back. the smith machine mimics a barbell but provides more stability. this movement can be programmed like a traditional stiff-legged or romanian deadlift, in low reps for strength or higher reps for muscle and strength endurance. it is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout."
Lying Leg Curl - Gethin Variation,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Hamstrings,Machine,Intermediate,,,"lying leg curl - gethin variation the lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. it is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Paul Carter Leg Extension,The leg extension is an isolation exercise for the quads.,Strength,Hamstrings,Machine,Intermediate,,,paul carter leg extension the leg extension is an isolation exercise for the quads.
Lying leg curl,"The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Hamstrings,Machine,Intermediate,,,"lying leg curl the lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. it is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Seated Hamstring Curl - Gethin Variation,"The leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. Leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Hamstrings,Machine,Intermediate,,,"seated hamstring curl - gethin variation the leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. it comes in seated and lying varieties, but the seated leg curl machine is more common in commercial gyms. leg curl variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training."
Single-leg lying leg curl,"The single-leg lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training. Performing it one leg a time allows you to focus on the mind-muscle connection of each leg and address muscle imbalances.",Strength,Hamstrings,Machine,Intermediate,,,"single-leg lying leg curl the single-leg lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. it is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training. performing it one leg a time allows you to focus on the mind-muscle connection of each leg and address muscle imbalances."
